first,last,isfemale-genderize,genderize-acc,genderize-log,isfemale-genderapi,genderapi-acc,genderapi-log
Łukasz,Kobyliński,False,100.0,"{""count"":1885,""gender"":""male"",""name"":""Łukasz"",""probability"":1.0},",False,100,"{""last_name"":""Kobyli\u0144ski"",""first_name"":""\u0141ukasz"",""strict"":false,""name"":""\u0142ukasz"",""name_sanitized"":""\u0141ukasz"",""country"":"""",""gender"":""male"",""samples"":32126,""accuracy"":100,""duration"":""38ms"",""credits_used"":1},"
Aristides,Dikos,False,100.0,"{""count"":5256,""gender"":""male"",""name"":""Aristides"",""probability"":1.0},",False,98,"{""last_name"":""Dikos"",""first_name"":""Aristides"",""strict"":false,""name"":""aristides"",""name_sanitized"":""Aristides"",""country"":"""",""gender"":""male"",""samples"":593,""accuracy"":98,""duration"":""30ms"",""credits_used"":1},"
Harald,Weinreich,False,100.0,"{""count"":38181,""gender"":""male"",""name"":""Harald"",""probability"":1.0},",False,99,"{""last_name"":""Weinreich"",""first_name"":""Harald"",""strict"":false,""name"":""harald"",""name_sanitized"":""Harald"",""country"":"""",""gender"":""male"",""samples"":4998,""accuracy"":99,""duration"":""31ms"",""credits_used"":1},"
Paul,Mockapetris,False,100.0,"{""count"":1200479,""gender"":""male"",""name"":""Paul"",""probability"":1.0},",False,99,"{""last_name"":""Mockapetris"",""first_name"":""Paul"",""strict"":false,""name"":""paul"",""name_sanitized"":""Paul"",""country"":"""",""gender"":""male"",""samples"":140849,""accuracy"":99,""duration"":""44ms"",""credits_used"":1},"
Ted,Szymanski,False,100.0,"{""count"":97618,""gender"":""male"",""name"":""Ted"",""probability"":1.0},",False,98,"{""last_name"":""Szymanski"",""first_name"":""Ted"",""strict"":false,""name"":""ted"",""name_sanitized"":""Ted"",""country"":"""",""gender"":""male"",""samples"":8573,""accuracy"":98,""duration"":""29ms"",""credits_used"":1},"
James,Niblock,False,100.0,"{""count"":1204083,""gender"":""male"",""name"":""James"",""probability"":1.0},",False,99,"{""last_name"":""Niblock"",""first_name"":""James"",""strict"":false,""name"":""james"",""name_sanitized"":""James"",""country"":"""",""gender"":""male"",""samples"":131879,""accuracy"":99,""duration"":""39ms"",""credits_used"":1},"
Nadine,Kafa,True,99.0,"{""count"":144732,""gender"":""female"",""name"":""Nadine"",""probability"":0.99},",True,98,"{""last_name"":""Kafa"",""first_name"":""Nadine"",""strict"":false,""name"":""nadine"",""name_sanitized"":""Nadine"",""country"":"""",""gender"":""female"",""samples"":31627,""accuracy"":98,""duration"":""38ms"",""credits_used"":1},"
Lawrence,Mazlack,False,100.0,"{""count"":103162,""gender"":""male"",""name"":""Lawrence"",""probability"":1.0},",False,98,"{""last_name"":""Mazlack"",""first_name"":""Lawrence"",""strict"":false,""name"":""lawrence"",""name_sanitized"":""Lawrence"",""country"":"""",""gender"":""male"",""samples"":9892,""accuracy"":98,""duration"":""44ms"",""credits_used"":1},"
Qiong,Liu,True,88.0,"{""count"":149,""gender"":""female"",""name"":""Qiong"",""probability"":0.88},",True,88,"{""last_name"":""Liu"",""first_name"":""Qiong"",""strict"":false,""name"":""qiong"",""name_sanitized"":""Qiong"",""country"":"""",""gender"":""female"",""samples"":111,""accuracy"":88,""duration"":""36ms"",""credits_used"":1},"
Jim,Hunter,False,100.0,"{""count"":561948,""gender"":""male"",""name"":""Jim"",""probability"":1.0},",False,99,"{""last_name"":""Hunter"",""first_name"":""Jim"",""strict"":false,""name"":""jim"",""name_sanitized"":""Jim"",""country"":"""",""gender"":""male"",""samples"":40318,""accuracy"":99,""duration"":""33ms"",""credits_used"":1},"
